region,policy_direction
경북 봉화군,"인접 지자체 공동 순회 문화서비스, 광역 문화이동 지원, 공동 디지털 문화거점"
경북 영덕군,"인접 지자체 공동 순회 문화서비스, 광역 문화이동 지원, 공동 디지털 문화거점"
경북 영양군,"인접 지자체 공동 순회 문화서비스, 광역 문화이동 지원, 공동 디지털 문화거점"
경북 청송군,"인접 지자체 공동 순회 문화서비스, 광역 문화이동 지원, 공동 디지털 문화거점"
전남 장흥군,"인접 지자체 공동 순회 문화서비스, 광역 문화이동 지원, 공동 디지털 문화거점"
경남 함양군,"인접 지자체 공동 순회 문화서비스, 광역 문화이동 지원, 공동 디지털 문화거점"
전북 부안군,"인접 지자체 공동 순회 문화서비스, 광역 문화이동 지원, 공동 디지털 문화거점"
경북 안동시,"인접 지자체 공동 순회 문화서비스, 광역 문화이동 지원, 공동 디지털 문화거점"
경북 영천시,"인접 지자체 공동 순회 문화서비스, 광역 문화이동 지원, 공동 디지털 문화거점"
전남 강진군,"인접 지자체 공동 순회 문화서비스, 광역 문화이동 지원, 공동 디지털 문화거점"
전남 완도군,"인접 지자체 공동 순회 문화서비스, 광역 문화이동 지원, 공동 디지털 문화거점"
경북 울진군,"인접 지자체 공동 순회 문화서비스, 광역 문화이동 지원, 공동 디지털 문화거점"
